height,distance,x,y
527.95,20.9,290.82,276.03
527.13,20.9,290.79,276.43
527.18,20.9,293.14,276.41
374.23,30.5,337.96,254.6
370.69,30.5,339.82,255.74
372.34,30.5,339.33,254.65
276.71,42.1,345.54,235.16
274.29,42.1,346.01,234.23
275.26,42.1,345.16,235.39
218.06,53.7,374.32,223.65
217.15,53.7,374.16,223.3
216.2,53.7,374.51,223.89
182.48,64,378.9,221.12
183.44,64,379.53,220.61
182.67,64,379.33,221.39
153.56,76.5,391.89,211.84
154.06,76.5,391.4,211.97
153.9,76.5,392,211.66
130.8,90.1,405.51,210.06
131.12,90.1,405.47,209.59
131.66,90.1,405.52,209.55
118.3,100.5,419.46,206.09
118.02,100.5,419.45,205.95
118.07,100.5,419.43,205.86
108.17,110,454.54,204.03
107.99,110,454.9,204.02
107.71,110,454.38,203.84
