               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076214,            0.024704,            0.035428,             0.77411,             0.33441,             0.26727,             0.10473,             0.04099,           0.0076727,             0.01107,            0.070125,           0.0033194,           0.0033194
                   1,            0.054687,            0.014857,             0.01187,             0.90599,             0.36509,             0.38097,             0.18829,            0.032567,           0.0060888,           0.0073394,            0.040059,           0.0065869,           0.0065869
                   2,            0.049856,            0.012913,           0.0087372,             0.54615,             0.57507,             0.52739,             0.26755,            0.033636,           0.0054399,           0.0065332,           0.0099273,           0.0097884,           0.0097884
                   3,            0.042854,            0.011943,            0.006551,             0.60445,             0.72845,             0.74558,              0.4024,            0.027769,           0.0051683,           0.0048673,            0.009703,            0.009703,            0.009703
                   4,            0.039289,            0.011434,           0.0050113,             0.82251,             0.64133,             0.65945,             0.38755,            0.025186,           0.0053059,           0.0041743,            0.009703,            0.009703,            0.009703
                   5,            0.036115,            0.010632,            0.003921,               0.903,             0.85027,             0.88014,             0.55342,            0.020713,           0.0047807,           0.0036185,            0.009604,            0.009604,            0.009604
                   6,            0.033955,            0.010664,           0.0036823,             0.83453,             0.87063,             0.90605,             0.61653,            0.020788,           0.0046094,           0.0029123,            0.009505,            0.009505,            0.009505
                   7,            0.032786,            0.010277,           0.0027982,             0.76392,             0.90748,              0.9411,             0.65602,             0.01909,           0.0046278,           0.0027951,            0.009406,            0.009406,            0.009406
                   8,            0.031466,            0.010202,           0.0026909,              0.7788,             0.91286,             0.94274,              0.6521,            0.020917,           0.0041786,           0.0027674,            0.009307,            0.009307,            0.009307
                   9,            0.030288,           0.0098629,           0.0023222,             0.88307,             0.99522,             0.96583,             0.67062,            0.018065,           0.0042141,           0.0023333,            0.009208,            0.009208,            0.009208
                  10,            0.029004,           0.0095838,           0.0018987,              0.9345,             0.97195,             0.98753,              0.7533,            0.017029,           0.0039112,           0.0023049,            0.009109,            0.009109,            0.009109
                  11,            0.028376,           0.0095114,           0.0017159,             0.87342,             0.96325,             0.98611,             0.75042,            0.018203,           0.0039685,            0.002215,             0.00901,             0.00901,             0.00901
                  12,            0.027728,           0.0095637,            0.001774,             0.95149,             0.93611,             0.98567,             0.74361,            0.016241,           0.0038754,           0.0021839,            0.008911,            0.008911,            0.008911
                  13,            0.027283,            0.009357,           0.0016448,             0.95049,             0.96677,             0.98981,             0.72378,            0.016417,           0.0038198,           0.0022212,            0.008812,            0.008812,            0.008812
                  14,             0.02679,           0.0093174,           0.0015559,             0.90843,             0.99395,             0.97997,             0.73094,            0.017105,           0.0039548,           0.0021895,            0.008713,            0.008713,            0.008713
                  15,            0.025996,           0.0092356,           0.0014052,             0.94669,             0.97494,             0.99315,             0.76533,            0.016118,              0.0038,           0.0021284,            0.008614,            0.008614,            0.008614
                  16,            0.026338,           0.0091557,           0.0015865,             0.93246,             0.98156,             0.99225,             0.70715,            0.015993,           0.0038156,           0.0020975,            0.008515,            0.008515,            0.008515
                  17,            0.025395,           0.0089899,           0.0013929,             0.93901,             0.98366,             0.98882,             0.70506,            0.016106,           0.0037262,           0.0020083,            0.008416,            0.008416,            0.008416
                  18,             0.02503,            0.008711,           0.0013114,             0.96252,             0.96487,             0.98965,             0.78904,            0.014821,           0.0036837,           0.0020848,            0.008317,            0.008317,            0.008317
                  19,             0.02517,           0.0088695,           0.0012728,             0.93832,             0.98305,             0.99246,             0.73939,            0.015462,           0.0036232,           0.0020194,            0.008218,            0.008218,            0.008218
                  20,            0.024147,            0.008628,           0.0011652,             0.97517,              0.9947,             0.99224,              0.7532,            0.015223,           0.0035392,           0.0019629,            0.008119,            0.008119,            0.008119
                  21,            0.024245,            0.008698,           0.0010046,             0.96664,             0.99613,             0.99325,             0.80789,            0.014827,           0.0035543,           0.0019611,             0.00802,             0.00802,             0.00802
                  22,            0.024076,           0.0086339,           0.0010331,             0.95716,             0.99613,             0.99226,             0.76915,             0.01491,           0.0035676,           0.0020654,            0.007921,            0.007921,            0.007921
                  23,            0.023861,           0.0085088,            0.001033,              0.9519,             0.98891,             0.99225,             0.80143,            0.014531,           0.0035539,           0.0019715,            0.007822,            0.007822,            0.007822
