               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073656,            0.022486,            0.027534,             0.84706,             0.39962,             0.40581,             0.17191,             0.03713,           0.0077342,           0.0074694,            0.070127,           0.0033193,           0.0033193
                   1,            0.052125,            0.014005,            0.008346,             0.63404,               0.657,             0.71044,             0.40556,             0.03134,           0.0053616,           0.0056914,            0.039907,           0.0064331,           0.0064331
                   2,            0.046052,            0.011685,           0.0063681,             0.87575,              0.7048,             0.77047,             0.48046,            0.027683,           0.0052595,           0.0051937,           0.0094675,           0.0093269,           0.0093269
                   3,            0.039873,            0.011133,           0.0047905,             0.91581,             0.86069,             0.88174,             0.51365,            0.022619,            0.004246,           0.0037087,             0.00901,             0.00901,             0.00901
                   4,            0.035503,            0.010171,           0.0037456,             0.88735,              0.9014,             0.89547,             0.62886,            0.021182,            0.004228,           0.0030204,             0.00901,             0.00901,             0.00901
                   5,            0.032422,           0.0096355,           0.0026349,              0.8673,             0.92984,             0.95727,             0.64238,            0.022196,            0.004074,           0.0025856,             0.00868,             0.00868,             0.00868
                   6,            0.030131,           0.0095187,           0.0024874,             0.87168,             0.95335,             0.94654,             0.67653,            0.019195,           0.0040942,            0.002405,             0.00835,             0.00835,             0.00835
                   7,            0.029605,           0.0092247,           0.0021851,             0.99433,             0.96369,             0.98832,             0.76765,            0.017727,           0.0037741,            0.002336,             0.00802,             0.00802,             0.00802
                   8,            0.027502,           0.0090083,           0.0018857,             0.98071,             0.99282,             0.99292,             0.78849,            0.016504,           0.0036188,           0.0021678,             0.00769,             0.00769,             0.00769
                   9,            0.026577,           0.0088732,           0.0017256,             0.98463,             0.99002,              0.9914,             0.78124,            0.017297,           0.0035813,            0.002015,             0.00736,             0.00736,             0.00736
                  10,            0.025507,           0.0086295,            0.001485,             0.97397,             0.97433,             0.99287,             0.76902,            0.015758,           0.0035567,           0.0019679,             0.00703,             0.00703,             0.00703
                  11,            0.024715,           0.0085243,           0.0013824,             0.98372,             0.98978,             0.99168,             0.77403,            0.015469,           0.0035493,            0.001958,              0.0067,              0.0067,              0.0067
                  12,            0.023924,           0.0085624,           0.0012347,             0.99121,             0.99404,             0.99227,             0.78526,            0.015287,           0.0034137,           0.0018915,             0.00637,             0.00637,             0.00637
                  13,             0.02339,           0.0081135,           0.0011775,             0.97832,             0.99107,             0.99329,             0.79774,            0.015169,           0.0034433,           0.0018345,             0.00604,             0.00604,             0.00604
                  14,            0.023092,           0.0081576,           0.0011464,             0.98465,             0.98573,             0.99259,             0.81366,            0.014343,            0.003218,           0.0018329,             0.00571,             0.00571,             0.00571
                  15,            0.022383,           0.0079376,          0.00097465,             0.98972,              0.9939,             0.99282,             0.83534,             0.01367,           0.0031904,            0.001744,             0.00538,             0.00538,             0.00538
                  16,            0.021526,           0.0077685,          0.00091085,             0.96685,             0.97168,             0.98687,             0.82786,            0.013766,            0.003239,           0.0018501,             0.00505,             0.00505,             0.00505
                  17,            0.020931,           0.0077357,           0.0009165,             0.99209,             0.99404,             0.99191,             0.80922,            0.014013,           0.0031541,           0.0018302,             0.00472,             0.00472,             0.00472
                  18,            0.020964,           0.0077072,          0.00082137,             0.95321,             0.99075,             0.97852,             0.79625,             0.01363,           0.0031697,           0.0018059,             0.00439,             0.00439,             0.00439
                  19,            0.020418,           0.0075871,          0.00078049,             0.98976,             0.99314,              0.9927,             0.81799,            0.013685,           0.0031423,           0.0017168,             0.00406,             0.00406,             0.00406
                  20,            0.019859,           0.0074714,          0.00072339,             0.98779,              0.9949,             0.99248,             0.82726,             0.01305,           0.0031527,           0.0017335,             0.00373,             0.00373,             0.00373
                  21,            0.019412,           0.0074789,          0.00066478,             0.94764,             0.99549,             0.98375,             0.82394,            0.013038,           0.0031417,            0.001801,              0.0034,              0.0034,              0.0034
                  22,            0.019088,           0.0073855,           0.0005976,             0.98668,             0.99549,             0.99189,             0.84126,            0.013117,           0.0030889,           0.0017459,             0.00307,             0.00307,             0.00307
                  23,            0.018733,           0.0072414,           0.0005459,             0.99032,             0.99438,             0.99207,             0.87721,            0.012357,           0.0030393,           0.0017584,             0.00274,             0.00274,             0.00274
                  24,            0.018232,           0.0072685,          0.00055454,             0.98944,              0.9943,             0.99236,             0.86695,            0.012479,           0.0029832,           0.0016686,             0.00241,             0.00241,             0.00241
                  25,            0.017971,           0.0071534,          0.00052606,             0.98906,             0.99549,             0.99262,              0.8774,            0.012294,            0.002995,           0.0016981,             0.00208,             0.00208,             0.00208
                  26,            0.017743,           0.0070138,          0.00042345,             0.99058,             0.99471,             0.99234,             0.86278,            0.012313,           0.0030206,           0.0016921,             0.00175,             0.00175,             0.00175
                  27,            0.017171,            0.007049,          0.00039086,             0.99025,             0.99464,             0.99199,             0.87028,            0.012457,           0.0029884,           0.0016849,             0.00142,             0.00142,             0.00142
                  28,            0.017097,            0.006931,          0.00039091,             0.99046,             0.99549,             0.99226,             0.86568,            0.012083,           0.0029749,           0.0016838,             0.00109,             0.00109,             0.00109
                  29,            0.016836,           0.0070353,          0.00037196,             0.99069,             0.99334,              0.9922,             0.88353,            0.011879,           0.0029674,           0.0016809,             0.00076,             0.00076,             0.00076
